Gold_Ingredient_Name,CAS_Number,Banned_in_California,Banned_in_Taiwan,Banned_in_EU,Aliases,Notes
(Michler'S Ketone),90-94-8,No,No,Yes,,(EC) 2009/1223
"(Micro-((7,7'-Iminobis(4-Hydroxy-3-((2-Hydroxy-5-(N-Methylsulphamoyl)Phenyl)Azo)Naphthalene-2-Sulphonato))(6-)))Dicuprate And Its Salts, When Used As A Substance In Hair Dye Products",37279-54-2,No,No,Yes,,(EC) 2009/1223
(R A S A)-2-Chloro-N-(6-Ethyl-O-Tolyl)-N-[(1S)-2-Methoxy-1-Methylethyl]Acetamide [Contains 80-100 % 2-Chloro-N-(2-Ethyl-6-Methylphenyl)-N-[(2S)-1-Methoxypropan-2-Yl]Acetamide And 0-20 % 2-Chloro-N-(2-Ethyl-6-Methylphenyl)-N-[(2R)-1-Methoxypropan-2-Yl]Acetamide],87392-12-9,No,No,Yes,,(EU) 2026/78
(R)-1-(Ethylcarbamoyl) Ethyl-Carbanilate,16118-49-3,No,No,Yes,,(EU) 2019/831
(R)-5-Bromo-3-(1-Methyl-2-Pyrrolidinylmethyl)-1H-Indole,143322-57-0,No,No,Yes,,(EC) 2009/1223
"(R)-Alpha-Phenylethylammonium (-)-(1R,2S)-(1,2-Epoxypropyl)Phosphonate Monohydrate",25383-07-7,No,No,Yes,,(EC) 2009/1223
"(R,S)-1-[3-(4-Tert-Butylphenyl)-2-Methylpropyl]Piperidine",67306-00-7,No,No,Yes,,(EU) 2026/78
"(R,S)-2-Amino-3,3-Dimethylbutane Amide",144177-62-8,No,No,Yes,,(EU) 2019/831
"(Rs)-(E)-5-(4-Chlorobenzylidene)-2,2-Dimethyl-1-(1H-1,2,4-Triazol-1-Methyl)Cyclopentanol",138182-18-0,No,No,Yes,,(EU) 2022/1531
(Rs)-(Ez)-2-{1-[(2E)-3-Chloroallyloxyimino]Propyl}-3-Hydroxy-5-Perhydropyran-4-Ylcyclohex-2-En-1-One,149979-41-9,No,No,Yes,,(EU) 2019/831
(Rs)-1-{1-Ethyl-4-[4-Mesyl-3-(2-Methoxyethoxy)-O-Toluoyl]Pyrazol-5-Yloxy}Ethyl Methyl Carbonate,1101132-67-5,No,No,Yes,,(EU) 2022/1531
(Rs)-2-(4-Isopropyl-4-Methyl-5-Oxo-2-Imidazolin-2-Yl)-5-Methoxymethylnicotinic Acid,114311-32-9,No,No,Yes,,(EU) 2022/1531
"(S)-2,3-Dihydro-1H-Indole-Carboxylic Acid",79815-20-6,No,No,Yes,,(EC) 2009/1223
"(Solvent Red 43), Its Disodium Salt (Acid Red 87","15086-94-9, 17372-87-1, 15876-39-8",No,No,Yes,,(EC) 2013/344
(Solvent Red 72)  And Its Disodium Salt (Ci 45370)  When Used As A Substance In Hair Dye Products,"596-03-2, 4372-02-5",No,No,Yes,,(EC) 2013/344
(Solvent Red 73) And Its Sodium Salt (Acid Red 95,"38577-97-8, 33239-19-9",No,No,Yes,,(EC) 2013/344
(T-4)- Bis[1-(Hydroxy-.Kappa.O)Pyridine-2(1H)- Thionato-.Kappa.S]Zinc,13463-41-7,No,No,Yes,,(EU) 2021/1902
(Taz),52234-82-9,No,No,Yes,,(EU) 2019/831
(Tegdme),112-49-2,No,No,Yes,,(EC) 2009/1223
(Xanthinol),2530-97-4,No,No,Yes,,(EC) 2009/1223
(Z)-2-Methoxymino-2-[2-(Tritylamino)Thiazol-4-Yl]Acetic Acid,64485-90-1,No,No,Yes,,(EU) 2019/831
(Z)-3-(6-Chloro-3-Pyridyl-Methyl)-1-3-Thiazolidin-2-Ylidenecyanamide,111988-49-9,No,No,Yes,,(EU) 2019/831
", ), . , : .",,No,Yes,No,,
", -Dichlorotoluene",98-87-3,No,Yes,No,,
",,-Trichlorotoluene",98-07-7,No,Yes,No,,
"-1,2,3,4,10,10-Hexachloro-6,7-Epoxy1,4,4A,5,6,7,8,8A-Octahydro-1,4:5,8-Dimethano-Naphthalene )",72-20-8,No,Yes,No,,
-Bromobenzyl Cyanide,5798-79-8,No,Yes,No,,
-Chloroacetophenone,532-27-4,No,Yes,No,,
"-Piperidin-2-Ylbenzyl Acetate, Laevorotatory Threoform ) And Its Salts",24558-01-8,No,Yes,No,,
/,"57966-95-7, 166900-80-7",No,No,Yes,,(EU) 2025/877
"1,1,2-Trichloroethane",79-00-5,No,No,Yes,,(EC) 2009/1223
"1,1,3,3,5-Pentamethyl-4,6-Dinitroindane (Moskene)",116-66-5,No,No,Yes,,(EC) 2009/1223
"1,1-Bis(Dimethylaminomethyl)Propyl Benzoate (Amydricaine, Alypine) And Its Salts",963-07-5,No,No,Yes,,(EC) 2009/1223
"1,2,3,4,5,6-Hexachlorocyclohexane (Bhc-Iso)",58-89-9,No,No,Yes,,(EC) 2009/1223
"1,2,3,4,5,6-Hexachlorocyclohexane )",58-89-9,No,Yes,No,,
"1,2,3,6-Tetrahydro-N-(Trichloromethylthio)Phthalimide",133-06-2,No,No,Yes,,(EC) 2009/1223
"1,2,3-Trichloropropane",96-18-4,No,Yes,Yes,,(EC) 2009/1223
"1,2,4-Benzenetriacetate And Its Salts",613-03-6,No,Yes,No,,
"1,2,4-Benzenetriacetate And Its Salts, When Used As A Substance In Hair Dye Products",613-03-6,No,No,Yes,,(EC) 2009/1223
"1,2,4-Triazole",288-88-0,No,No,Yes,,(EC) 2009/1223
"1,2,4-Trichlorobenzene",120-82-1,No,Yes,No,,
"1,2,4-Trihydroxybenzene When Used As A Substance In Hair And Eyelash Dye Products",533-73-3,No,No,Yes,,(EU) 2020/1683
"1,2,5,6,9,10-Hexabromocyclododecane","25637-99-4, 3194-55-6",No,No,Yes,,(EU) 2019/831
"1,2-Benzenedicarboxylic Acid",71888-89-6,No,No,Yes,,(EU) 2019/831
"1,2-Benzenedicarboxylic Acid, Di-C7-11-Branched And Linear Alkyl Esters",68515-42-4,No,No,Yes,,(EC) 2009/1223
"1,2-Benzenedicarboxylic Acid, Dihexyl Ester, Branched And Linear",68515-50-4,No,No,Yes,,(EU) 2019/831
"1,2-Benzenedicarboxylic Acid, Dipentylester, Branched And Linear","84777-06-0, 776297-69-9, 131-18-0, 605-50-5",No,No,Yes,,(EC) 2009/1223
"1,2-Benzenedicarboxylic Acid, Dipentylester, Branched And Linear; N-Pentyl-Isopentylphthalate; Di-N-Pentyl Phthalate; Diisopentylphthalate",605-50-5/84777-06-0/131-18-0,No,Yes,No,,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. "
"1,2-Bis(2-Methoxyethoxy)Ethane",112-49-2,No,No,Yes,,(EC) 2009/1223
"1,2-Dibromo-3-Chloropropane",96-12-8,No,Yes,Yes,,(EC) 2009/1223
