Gold_Ingredient_Name,CAS_Number,Banned_in_California,Banned_in_Taiwan,Banned_in_EU,Aliases,Notes
"Extracts (Petroleum), Light Vacuum Gas Oil Solvent, Hydrotreated, If They Contain > 3 % W/W Dmso Extract",91995-79-8,No,No,Yes,,(EC) 2009/1223
"Extracts (Petroleum), Light Vacuum, Gas Oil Solvent, Carbon-Treated, If They Contain > 3 % W/W Dmso Extract",100684-04-6,No,No,Yes,,(EC) 2009/1223
"Extracts (Petroleum), Solvent-Dewaxed Heavy Paraffinic Distillate Solvent, Hydrodesulfurised, If They Contain > 3 % W/W Dmso Extract",93763-11-2,No,No,Yes,,(EC) 2009/1223
"Extracts (Petroleum), Solvent-Refined Heavy Paraffinic Distillate Solvent, If They Contain > 3 % W/W Dmso Extract",68783-04-0,No,No,Yes,,(EC) 2009/1223
"Fatty Acids, C6-19-Branched, Nickel Salts","16083-14-0, 3349-08-4, 39819-65-3, 18721-51-2, 18283-82-4, 22605-92-1, 4454-16-4, 7580-31-6, 93983-68-7, 29317-63-3, 27637-46-3, 84852-37-9, 93920-10-6, 85508-43-6, 85508-44-7, 51818-56-5",No,No,Yes,,(EU) 2019/831
"Fatty Acids, C8-18 And C18-Unsaturated, Nickel Salts","16083-14-0, 3349-08-4, 39819-65-3, 18721-51-2, 18283-82-4, 22605-92-1, 4454-16-4, 7580-31-6, 93983-68-7, 29317-63-3, 27637-46-3, 84852-37-9, 93920-10-6, 85508-43-6, 85508-44-7, 51818-56-5",No,No,Yes,,(EU) 2019/831
Feclemine (Inn),3590-16-7,No,No,Yes,,(EC) 2009/1223
"Feclemine ; 2--N,N,N',N'-Tetraethyl-1,3-Propanediamine",3590-16-7,No,Yes,No,,
Fenadiazole,1008-65-7,No,Yes,No,,
Fenadiazole (Inn),1008-65-7,No,No,Yes,,(EC) 2009/1223
Fenarimol (Iso),60168-88-9,No,No,Yes,,(EC) 2009/1223
Fenchlorphos,299-84-3,No,Yes,No,,
Fenoxycarb (Iso),72490-01-8,No,No,Yes,,(EU) 2019/831
Fenozolone,15302-16-6,No,Yes,No,,
Fenozolone (Inn),15302-16-6,No,No,Yes,,(EC) 2009/1223
Fenpropidin (Iso),67306-00-7,No,No,Yes,,(EU) 2026/78
Fenpropimorph (Iso),67564-91-4,No,No,Yes,,(EC) 2009/1223
Fenthion (Iso),55-38-9,No,No,Yes,,(EC) 2009/1223
Fentin Acetate,900-95-8,No,No,Yes,,(EC) 2009/1223
Fentin Hydroxide,76-87-9,No,Yes,Yes,,(EC) 2009/1223
Fenyramidol,553-69-5,No,Yes,No,,
Fenyramidol (Inn),553-69-5,No,No,Yes,,(EC) 2009/1223
Fig Leaf Absolute,68916-52-9,No,Yes,No,,
"Fig Leaf Absolute (Ficus Carica L.), When Used As A Fragrance Ingredient",68916-52-9,No,No,Yes,,(EC) 2009/1223
Flocoumafen (Iso),90035-08-8,No,No,Yes,,(EU) 2019/1966
Fluanisone,1480-19-9,No,Yes,No,,
Fluanisone (Inn),1480-19-9,No,No,Yes,,(EC) 2009/1223
Fluazifop-Butyl,69806-50-4,No,No,Yes,,(EC) 2009/1223
Fluazifop-P-Butyl (Iso),79241-46-6,No,No,Yes,,(EC) 2009/1223
Fluazinam (Iso),79622-59-6,No,No,Yes,,(EU) 2019/831
Flumioxazin,103361-09-7,No,No,Yes,,(EC) 2009/1223
Fluopicolide (Iso),,No,No,Yes,,(EU) 2023/1490
Fluorescein And Its Disodium Salt (Acid Yellow 73 Sodium Salt,"2321-07-5, 518-47-8",No,No,Yes,,(EC) 2013/344
"Fluorescein, 2',4',5',7'-Tetrabromo-","15086-94-9, 17372-87-1, 15876-39-8",No,No,Yes,,(EC) 2013/344
Fluoresone,2924-67-6,No,Yes,No,,
Fluoresone (Inn),2924-67-6,No,No,Yes,,(EC) 2009/1223
Fluorine Compounds,,No,Yes,No,,口腔製劑另有規定者除外. 
Fluorouracil,51-21-8,No,Yes,No,,
Fluorouracil (Inn),51-21-8,No,No,Yes,,(EC) 2009/1223
Flurochloridone (Iso),61213-25-0,No,No,Yes,,(EU) 2021/1902
Flusilazole,85509-19-9,No,No,Yes,,(EC) 2009/1223
Fluxapyroxad,907204-31-3,No,No,Yes,,(EU) 2021/1902
"Foots Oil (Petroleum), Acid-Treated, If It Contains > 3 % W/W Dmso Extract",93924-31-3,No,No,Yes,,(EC) 2009/1223
"Foots Oil (Petroleum), Carbon-Treated, If It Contains > 3 % W/W Dmso Extract",97862-76-5,No,No,Yes,,(EC) 2009/1223
"Foots Oil (Petroleum), Clay-Treated, If It Contains > 3 % W/W Dmso Extract",93924-32-4,No,No,Yes,,(EC) 2009/1223
"Foots Oil (Petroleum), Hydrotreated, If It Contains > 3 % W/W Dmso Extract",92045-12-0,No,No,Yes,,(EC) 2009/1223
"Foots Oil (Petroleum), If It Contains > 3 % W/W Dmso Extract",64742-67-2,No,No,Yes,,(EC) 2009/1223
"Foots Oil (Petroleum), Silicic Acid-Treated, If It Contains > 3 % W/W Dmso Extract",97862-77-6,No,No,Yes,,(EC) 2009/1223
Foramsulfuron (Iso),173159-57-4,No,No,Yes,,(EU) 2025/877
Forchlorfenuron (Iso),68157-60-8,No,No,Yes,,(EU) 2019/831
Formaldehyde,50-00-0,Yes,Yes,Yes,,"Ban Year: 2025 | (1)化粧品中使用DMDM Hydantoin、Imidazolidinyl urea、Quaterium 15、Benzylhemiformal、5-Bromo-5-nitro-1,3-dioxane、Bronopol、Methenamine、Sodium hydroxymethylglycinate、Diazolidinyl urea 成分作為防腐劑時, 其總釋出之Free formaldehyde 量, 不得超過1000ppm. (2)未添加DMDM Hydantonin、Imidazolidinyl urea、Quaterium-15、DiaZolidinyl urea、Hexamethylenetetramine、Benzylhemiformal、5-Bromo-5-nitro-1,3-dioxane、Bronopol 及Sodium hydroxymethylglycinate 等防腐劑成分, 如於製造過程中, 因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含游離甲醛(Free formaldehyde)之殘留量, 不得超過75ppm.  | (EU) 2019/831"
Formamide,75-12-7,No,No,Yes,,(EC) 2009/1223
"Formic Acid, Copper Nickel Salt","3349-06-2, 15843-02-4, 68134-59-8",No,No,Yes,,(EU) 2019/831
"Formic Acid, Nickel Salt","3349-06-2, 15843-02-4, 68134-59-8",No,No,Yes,,(EU) 2019/831
Fuberidazole (Iso),3878-19-1,No,No,Yes,,(EU) 2019/831
"Fuel Gases, Crude Oil Distillates, If They Contain > 0.1 % W/W Butadiene",68476-29-9,No,No,Yes,,(EC) 2009/1223
"Fuel Oil, Heavy, High-Sulfur",92045-14-2,No,No,Yes,,(EC) 2009/1223
"Fuel Oil, No 6",68553-00-4,No,No,Yes,,(EC) 2009/1223
"Fuel Oil, No. 2",68476-30-2,No,No,Yes,,(EC) 2009/1223
"Fuel Oil, No. 4",68476-31-3,No,No,Yes,,(EC) 2009/1223
"Fuel Oil, Residual",68476-33-5,No,No,Yes,,(EC) 2009/1223
"Fuel Oil, Residues-Straight-Run Gas Oils, High-Sulfur",68476-32-4,No,No,Yes,,(EC) 2009/1223
"Fuel-Gases, If They Contain > 0.1% W/W Butadiene",68476-26-6,No,No,Yes,,(EC) 2009/1223
"Fuels, Diesel, Coal Solvent Extn., Hydrocracked Hydrogenated",94114-59-7,No,No,Yes,,(EC) 2009/1223
"Fuels, Diesel, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",68334-30-5,No,No,Yes,,(EC) 2009/1223
"Fuels, Diesel, No. 2",68476-34-6,No,No,Yes,,(EC) 2009/1223
"Fuels, Jet Aircraft, Coal Solvent Extn., Hydrocracked Hydrogenated",94114-58-6,No,No,Yes,,(EC) 2009/1223
Furan,110-00-9,No,Yes,Yes,,(EC) 2009/1223
Furazolidone,67-45-8,No,Yes,No,,
Furazolidone (Inn),67-45-8,No,No,Yes,,(EC) 2009/1223
Furfuryl Alcohol,98-00-0,No,No,Yes,,(EU) 2019/831
"Furfuryltrimethyl Ammonium Salts, E.G. Furtrethonium Iodide (Inn)",541-64-0,No,No,Yes,,(EC) 2009/1223
"Furfuryltrimethylammonium Salts, E. G. Furtrethonium Iodide",541-64-0,No,Yes,No,,
"Furocoumarines (E.G. Trioxysalen (Inn), 8-Methoxypsoralen, 5-Methoxypsoralen) Except For Normal Content In Natural Essences Used.","298-81-7, 484-20-8, 3902-71-4",No,No,Yes,,(EC) 2009/1223
"Furocoumarines , 8 -Methoxypsoralen, 5-Methoxypsoralen) Except For Normal Content In Natural Essences Used.",298-81-7/ 484-20-8/ 3902-71-4,No,Yes,No,,"In sun protection and in bronzing products, furocoumarines shall be below 1 mg/kg"
Galantamine,357-70-0,No,Yes,No,,
Galantamine (Inn),357-70-0,No,No,Yes,,(EC) 2009/1223
Gallamine Triethiodide,65-29-2,No,Yes,No,,
Gallamine Triethiodide (Inn),65-29-2,No,No,Yes,,(EC) 2009/1223
Gallium Arsenide,1303-00-0,No,No,Yes,,(EU) 2019/831
"Gas Oils (Petroleum), Acid-Treated, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",64742-12-7,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Chemically Neutralized, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",64742-29-6,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Heavy Atmospheric",68783-08-4,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Heavy Vacuum",64741-57-7,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Hydrodesulfurized Coker Heavy Vacuum",85117-03-9,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Hydrodesulfurized Heavy Vacuum",64742-86-5,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Hydrodesulfurized, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",64742-79-6,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Hydrotreated Vacuum",64742-59-2,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Light Vacuum, Thermal-Cracked Hydrodesulfurized",97926-59-5,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Solvent-Refined, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",64741-90-8,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Steam-Cracked",68527-18-4,No,No,Yes,,(EC) 2009/1223
"Gas Oils (Petroleum), Thermal-Cracked, Hydrodesulfurized",92045-29-9,No,No,Yes,,(EC) 2009/1223
"Gas Oils, Hydrotreated, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",97862-78-7,No,No,Yes,,(EC) 2009/1223
"Gas Oils, Paraffinic, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",93924-33-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Alkylation Feed, If They Contain > 0.1% W/W Butadiene",68606-27-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Amine System Feed, If They Contain > 0.1 % W/W Butadiene",68477-65-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Benzene Unit Hydrodesulfurizer Off, If They Contain > 0.1% W/W Butadiene",68477-66-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Benzene Unit Hydrotreater Depentanizer Overheads, If They Contain > 0.1 % W/W Butadiene",68602-82-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Benzene Unit Recycle, Hydrogen-Rich, If They Contain > 0.1% W/W Butadiene",68477-67-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Blend Oil, Hydrogen-Nitrogen-Rich, If They Contain > 0.1% W/W Butadiene",68477-68-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Butane Splitter Overheads, If They Contain > 0.1 % W/W Butadiene",68477-69-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C1-5, Wet, If They Contain > 0.1% W/W Butadiene",68602-83-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C2-3, If They Contain > 0.1% W/W Butadiene",68477-70-3,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C2-4, Sweetened, If They Contain > 0.1 % W/W Butadiene",68783-65-3,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C2-Return Stream, If They Contain > 0.1% W/W Butadiene",68477-84-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C3-4, If They Contain > 0.1% W/W Butadiene",68131-75-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C3-4, Isobutane-Rich, If They Contain > 0.1% W/W Butadiene",68477-33-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C3-5 Olefinic-Paraffinic Alkylation Feed, If They Contain > 0.1% W/W Butadiene",68477-83-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C4-Rich, If They Contain > 0.1% W/W Butadiene",68477-85-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C6-8 Catalytic Reformer Recycle, Hydrogen-Rich, If They Contain > 0.1% W/W Butadiene",68477-82-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C6-8 Catalytic Reformer Recycle, If They Contain > 0.1% W/W Butadiene",68477-80-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), C6-8 Catalytic Reformer, If They Contain > 0.1 % W/W Butadiene",68477-81-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Cracked Naphtha Debutanizer, If They Contain > 0.1 % W/W Butadiene",68952-76-1,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Cracked Naphtha Depropanizer Overhead, C3-Rich Acid-Free, If They Contain > 0.1% W/W Butadiene",68477-73-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Cracked Overheads, If They Contain > 0.1% W/W Butadiene",68409-99-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Cracker, C1-5-Rich, If They Contain > 0.1% W/W Butadiene",68477-75-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Cracker, If They Contain > 0.1% W/W Butadiene",68477-74-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Cracking, If They Contain > 0.1% W/W Butadiene",68783-64-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Polymd. Naphtha Stabilizer Overhead, C2-4-Rich, If They Contain > 0.1% W/W Butadiene",68477-76-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Reformed Naphtha Stripper Overhead, If They Contain > 0.1% W/W Butadiene",68477-77-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Reformed Straight-Run Naphtha Stabilizer Overheads, If They Contain > 0.1% W/W Butadiene",68513-14-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic Reformer, C1-4-Rich, If They Contain > 0.1% W/W Butadiene",68477-79-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic-Cracked Gas Oil Depropaniser Bottoms, C4-Rich Acid-Free, If They Contain > 0.1% W/W Butadiene",68477-71-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Catalytic-Cracked Naphtha Debutaniser Bottoms, C3-5-Rich, If They Contain > 0.1% W/W Butadiene",68477-72-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Crude Distn. And Catalytic Cracking, If They Contain > 0.1 % W/W Butadiene",68989-88-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Crude Oil Fractionation Off, If They Contain > 0.1% W/W Butadiene",68918-99-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Deethanizer Overheads, If They Contain > 0.1% W/W Butadiene",68477-86-1,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Dehexanizer Off, If They Contain > 0.1 % W/W Butadiene",68919-00-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Deisobutanizer Tower Overheads, If They Contain > 0.1% W/W Butadiene",68477-87-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Depropanizer Bottoms Fractionation Off, If They Contain > 0.1% W/W Butadiene",68606-34-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Depropanizer Dry, Propene-Rich, If They Contain > 0.1% W/W Butadiene",68477-90-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Depropanizer Overheads, If They Contain > 0.1 % W/W Butadiene",68477-91-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Distillate Unifiner Desulfurization Tripper Off, If They Contain > 0.1% W/W Butadiene",68919-01-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Dry Sour, Gas-Concn. -Unit-Off, If They Contain > 0.1 % W/W Butadiene",68477-92-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Fluidized Catalytic Cracker Fractionation Off, If They Contain > 0.1% W/W Butadiene",68919-02-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Fluidized Catalytic Cracker Scrubbing Secondary Absorber Off, If They Contain > 0.1% W/W Butadiene",68919-03-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Fluidized Catalytic Cracker Splitter Overheads, If They Contain > 0.1% W/W Butadiene",68919-20-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Full-Range Straight-Run Naphtha Dehexanizer Off, If They Contain > 0.1 % W/W Butadiene",68513-15-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Gas Concn. Reabsorber Distn., If They Contain > 0.1% W/W Butadiene",68477-93-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Gas Oil Diethanolamine Scrubber Off, If They Contain > 0.1% W/W Butadiene",92045-15-3,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Gas Oil Hydrodesulfurization Effluent, If They Contain > 0.1 % W/W Butadiene",92045-16-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Gas Oil Hydrodesulfurization Purge, If They Contain > 0.1% W/W Butadiene",92045-17-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Gas Recovery Plant Depropanizer Overheads, If They Contain > 0.1% W/W Butadiene",68477-94-1,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Girbatol Unit Feed, If They Contain > 0.1% W/W Butadiene",68477-95-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Heavy Distillate Hydrotreater Desulfurization Stripper Off, If They Contain > 0.1% W/W Butadiene",68919-04-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrocracking Depropanizer Off, Hydrocarbon-Rich, If They Contain > 0.1 % W/W Butadiene",68513-16-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrocracking Low-Pressure Separator, If They Contain > 0.1 % W/W Butadiene",68783-06-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrogen Absorber Off, If They Contain > 0,1% W/W Butadiene",68477-96-3,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrogen-Rich, If They Contain > 0.1% W/W Butadiene",68477-97-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrogenator Effluent Flash Drum Off, If They Contain > 0.1% W/W Butadiene",92045-18-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrotreated Sour Kerosine Depentanizer Stabilizer Off, If They Contain > 0.1 % W/W Butadiene",68911-58-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrotreated Sour Kerosine Flash Drum, If They Contain > 0.1 % W/W Butadiene",68911-59-1,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Hydrotreater Blend Oil Recycle, Hydrogen-Nitrogen-Rich, If They Contain > 0.1 % W/W Butadiene",68477-98-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Isomerized Naphtha Fractionator, C4-Rich, Hydrogen Sulfide-Free, If They Contain > 0.1% W/W Butadiene",68477-99-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Light Steam-Cracked, Butadiene Conc., If They Contain > 0.1% W/W Butadiene",68955-28-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Light Straight Run Gasoline Fractionation Stabilizer Off, If They Contain > 0.1 % W/W Butadiene",68919-05-1,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Light Straight-Run Naphtha Stabilizer Off, If They Contain > 0.1% W/W Butadiene",68513-17-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Naphtha Steam Cracking High-Pressure Residual, If They Contain > 0.1% W/W Butadiene",92045-19-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Naphtha Unifiner Desulfurization Stripper Off, If They Contain > 0.1% W/W Butadiene",68919-06-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Oil Refinery Gas Distn., If They Contain > 0.1% W/W Butadiene",68527-15-1,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Platformer Products Separator Off, If They Contain > 0.1% W/W Butadiene",68814-90-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Platformer Stabilizer Off, Light Ends Fractionation, If They Contain > 0.1 % W/W Butadiene",68919-07-3,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Preflash Tower Off, Crude Distn., If They Contain > 0.1% W/W Butadiene",68919-08-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Recycle, Hydrogen-Rich, If They Contain > 0.1% W/W Butadiene",68478-00-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Refinery Blend, If They Contain > 0.1% W/W Butadiene",68783-07-3,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Refinery, If They Contain > 0.1 % W/W Butadiene",68814-67-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Reformer Effluent High-Pressure Flash Drum Off, If They Contain > 0.1% W/W Butadiene",68513-18-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Reformer Effluent Low-Pressure Flash Drum Off, If They Contain > 0.1% W/W Butadiene",68513-19-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Reformer Make-Up, Hydrogen-Rich, If They Contain > 0.1% W/W Butadiene",68478-01-3,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Reforming Hydrotreater Make-Up, Hydrogen-Rich, If They Contain > 0.1 % W/W Butadiene",68478-04-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Reforming Hydrotreater, Hydrogen-Methane-Rich, If They Contain > 0.1 % W/W Butadiene",68478-03-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Reforming Hydrotreater, If They Contain > 0.1% W/W Butadiene",68478-02-4,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Residue Visbaking Off, If They Contain > 0.1% W/W Butadiene",92045-20-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Secondary Absorber Off, Fluidized Catalytic Cracker Overheads, If They Contain > 0.1% W/W Butadiene",68602-84-6,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Sponge Absorber Off, Fluidized Catalytic Cracker And Gas Oil Desulfurizer Overhead Fractionation, If They Contain > 0.1% W/W Butadiene",68955-33-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Steam-Cracker C3-Rich, If They Contain > 0.1% W/W Butadiene",92045-22-2,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Straight-Run Naphtha Catalytic Reformer Stabilizer Overhead, If They Contain > 0.1% W/W Butadiene",68955-34-0,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Straight-Run Naphtha Catalytic Reforming Off, If They Contain > 0.1% W/W Butadiene",68919-09-5,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Straight-Run Stabilizer Off, If They Contain > 0.1 % W/W Butadiene",68919-10-8,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Tar Stripper Off, If They Contain > 0.1% W/W Butadiene",68919-11-9,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Thermal Cracking Distn., If They Contain > 0.1% W/W Butadiene",68478-05-7,No,No,Yes,,(EC) 2009/1223
"Gases (Petroleum), Unifiner Stripper Off, If They Contain > 0.1% W/W Butadiene",68919-12-0,No,No,Yes,,(EC) 2009/1223
Gelsemium Elegans Benth.,,No,Yes,No,,
Glass Microfibres Of Representative Composition,,No,No,Yes,,(EU) 2019/1966
Glucocorticoids (Corticosteroids),,No,No,Yes,,(EC) 2009/1223
Glufosinate Ammonium (Iso),77182-82-2,No,No,Yes,,(EU) 2019/831
Glutethimide  And Its Salts,77-21-4,No,Yes,No,,
Glutethimide (Inn) And Its Salts,77-21-4,No,No,Yes,,(EC) 2009/1223
Glycidyl Methacrylate,106-91-2,No,No,Yes,,(EU) 2019/831
Glycidyl Trimethylammonium Chloride,3033-77-0,No,No,Yes,,(EU) 2019/831
Glycyclamide,664-95-9,No,Yes,No,,
Glycyclamide (Inn),664-95-9,No,No,Yes,,(EC) 2009/1223
"Gold (Nano) [Inci], Colloidal Gold (Nano) [Inci]","7440-57-5, 1360157-34-1",No,No,Yes,,(EU) 2024/858
Gold Salts,,No,No,Yes,,(EC) 2009/1223
Gold Thioethylamino Hyaluronic Acid (Nano) [Inci],"7440-57-5, 1360157-34-1",No,No,Yes,,(EU) 2024/858
Guaifenesin,93-14-1,No,Yes,No,,
Guaifenesin (Inn),93-14-1,No,No,Yes,,(EC) 2009/1223
Guanethidine  And Its Salts,55-65-2,No,Yes,No,,
Guanethidine (Inn) And Its Salts,55-65-2,No,No,Yes,,(EC) 2009/1223
Halogeno-Salicylanilide,,No,Yes,No,,
Haloperidol,52-86-8,No,Yes,No,,
Haloperidol (Inn),52-86-8,No,No,Yes,,(EC) 2009/1223
Halosulfuron-Methyl (Iso),100784-20-1,No,No,Yes,,(EU) 2021/850
Hc Blue No.1-3-Nitrophenyl]Imino)Bis),2784-94-3,No,Yes,No,,
Hc Green No 1,52136-25-1,No,No,Yes,,(EC) 2009/1223
Hc Orange No 3,81612-54-6,No,No,Yes,,(EC) 2009/1223
Hc Red No 8 And Its Salts,"13556-29-1, 97404-14-3",No,No,Yes,,(EC) 2009/1223
Hc Yellow No 11,73388-54-2,No,No,Yes,,(EC) 2009/1223
Heazlewoodite,"12035-72-2, 12035-71-1",No,No,Yes,,(EC) 2009/1223
Heptachlor,76-44-8,No,Yes,Yes,,(EC) 2009/1223
Heptachlor-Epoxide,1024-57-3,No,No,Yes,,(EC) 2009/1223
Heptadecafluorooctane-1-Sulfonic Acid,"1763-23-1, 2795-39-3, 70225-14-8, 29081-56-9, 29457-72-5",No,No,Yes,,(EU) 2019/831
Hexabromocyclododecane,"25637-99-4, 3194-55-6",No,No,Yes,,(EU) 2019/831
"Hexachloro-1,3-Butadiene",87-68-3,No,Yes,No,,
Hexachlorobenzene,118-74-1,No,Yes,Yes,,(EC) 2009/1223
Hexachlorocyclohexane,319-84-6/319-85-7/319-86-86108-10-7,No,Yes,No,,
Hexachloroethane,67-72-1,No,Yes,Yes,,(EC) 2009/1223
Hexachloronaphthalene,1335-87-1,No,Yes,No,,
Hexaethyl Tetraphosphate,757-58-4,No,No,Yes,,(EC) 2009/1223
"Hexahydrocoumarin, When Used As A Fragrance Ingredient",700-82-3,No,No,Yes,,(EC) 2009/1223
