retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,Summer Fridays Lip Butter Balm,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Propylene Carbonate,propylene carbonate,Propylene Carbonate,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Polyglyceryl-2 Diisostearate,polyglyceryl-2 diisostearate,Polyglyceryl-2 Diisostearate,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Aluminum Hydroxide,aluminum hydroxide,Aluminum Hydroxide,21645-51-2,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Fragrance/Parfum,fragrance,Fragrance,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Mica,mica,Mica,12001-26-2,No,No,No
Sephora,Summer Fridays Lip Butter Balm,BHT,bht,Bht,128-37-0,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Benzyl Alcohol,benzyl alcohol,Benzyl Alcohol,100-51-6,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Benzyl Benzoate,benzyl benzoate,Benzyl Benzoate,120-51-4,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Red 6 (CI 15850),red 6,Red 6,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Red 28 Lake (CI 45410),red 28 lake,Red 28 Lake,,No,No,No
Sephora,Summer Fridays Lip Butter Balm,Titanium Dioxide (CI 77891),titanium dioxide,Ci 77891,,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Aqua (Water),aqua,Aqua,,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Niacinamide,niacinamide,Niacinamide,98-92-0,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Pentylene Glycol,pentylene glycol,Pentylene Glycol,5343-92-0,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Zinc PCA,zinc pca,Zinc Pca,68107-75-5,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Dimethyl Isosorbide,dimethyl isosorbide,Dimethyl Isosorbide,5306-85-4,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Tamarindus Indica Seed Gum,tamarindus indica seed gum,Tamarindus Indica Seed Gum,84961-62-6,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Xanthan Gum,xanthan gum,Xanthan Gum,11138-66-2,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Isoceteth-20,isoceteth-20,Isoceteth-20,69364-63-2,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Ethoxydiglycol,ethoxydiglycol,Ethoxydiglycol,111-90-0,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Phenoxyethanol,phenoxyethanol,Phenoxyethanol,122-99-6,No,No,No
Sephora,The Ordinary Niacinamide 10% + Zinc 1%,Chlorphenesin,chlorphenesin,Chlorphenesin,104-29-0,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Alcohol Denat.,alcohol denat.,Alcohol,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,PVP,pvp,Pvp,9003-39-8,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,VP/VA Copolymer,vp,Vp,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Aqua (Water),aqua,Aqua,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,CI 77499 (Iron Oxides),ci 77499,Ci 77499,12227-89-3,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Parfum (Fragrance),parfum,Parfum,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Charcoal Powder,charcoal powder,Charcoal Powder,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Caprylic/Capric Triglyceride,caprylic,Caprylic,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Epilobium Fleischeri Extract,epilobium fleischeri extract,Epilobium Fleischeri Extract,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Pistacia Lentiscus (Mastic) Gum,pistacia lentiscus gum,Pistacia Lentiscus Gum,61789-92-2,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Hydrogenated Lecithin,hydrogenated lecithin,Hydrogenated Lecithin,92128-87-5,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Phenethyl Alcohol,phenethyl alcohol,Phenethyl Alcohol,60-12-8,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Dipotassium Glycyrrhizate,dipotassium glycyrrhizate,Dipotassium Glycyrrhizate,68797-35-3,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Citric Acid,citric acid,Citric Acid,77-92-9,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Potassium SorbateCI 77499,potassium sorbateci 77499,Potassium Sorbateci 77499,,No,No,No
Sephora,Sephora Collection Blackhead Peel-Off Mask,Iron Oxides,iron oxides,Iron Oxides,1332-37-2,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Aqua (Water),aqua,Aqua,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Melaleuca Alternifolia (Tea Tree) Leaf Water,melaleuca alternifolia leaf water,Melaleuca Alternifolia Leaf Extract,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Propanediol,propanediol,Propanediol,26264-14-2,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Hydrogenated Polydecene,hydrogenated polydecene,Hydrogenated Polydecene,68037-01-4,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Vinyl Dimethicone,vinyl dimethicone,Vinyl Dimethicone,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,C14-22 Alcohols,c14-22 alcohols,C14-22 Alcohols,68002-95-9,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Niacinamide,niacinamide,Niacinamide,98-92-0,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Caprylic/Capric Triglyceride,caprylic,Caprylic,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Panthenol,panthenol,Panthenol,81-13-0,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Dicaprylyl Carbonate,dicaprylyl carbonate,Dicaprylyl Carbonate,1680-31-5,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Butylene Glycol,butylene glycol,Butylene Glycol,107-88-0,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Ammonium Acryloyldimethyltaurate/VP Copolymer,ammonium acryloyldimethyltaurate,Ammonium Acryloyldimethyltaurate,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Caprylyl Methicone,caprylyl methicone,Caprylyl Methicone,17955-88-3,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Polymethylsilsesquioxane,polymethylsilsesquioxane,Polymethylsilsesquioxane,68554-70-1,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,C12-20 Alkyl Glucoside,c12-20 alkyl glucoside,C12-20 Alkyl Glucoside,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Hydroxyacetophenone,hydroxyacetophenone,Hydroxyacetophenone,99-93-4,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates,Acrylates,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Polyquaternium-51,polyquaternium-51,Polyquaternium-51,125275-25-4,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Tromethamine,tromethamine,Tromethamine,77-86-1,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Sodium Hyaluronate,sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Sodium Stearoyl Glutamate,sodium stearoyl glutamate,Sodium Stearoyl Glutamate,38517-23-6,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Coptis Japonica Root Extract,coptis japonica root extract,Coptis Japonica Root Extract,223748-66-1,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Centella Asiatica Leaf Water,centella asiatica leaf water,Centella Asiatica Leaf Water,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Beta-Glucan,beta-glucan,Beta-Glucan,26874-89-5,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Resveratrol,resveratrol,Resveratrol,501-36-0,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Hydrolyzed Hyaluronic Acid,hydrolyzed hyaluronic acid,Hyaluronic Acid,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Camellia Sinensis Leaf Water,camellia sinensis leaf water,Camellia Sinensis Leaf Water,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Madecassoside,madecassoside,Madecassoside,34540-22-2,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Sodium DNA,sodium dna,Sodium Dna,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Centella Asiatica Extract,centella asiatica extract,Centella Asiatica Extract,84696-21-9,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Ceramide NP,ceramide np,Ceramide Np,72968-43-5,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Tannic Acid,tannic acid,Tannic Acid,,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Disodium EDTA,disodium edta,Disodium Edta,139-33-3,No,No,No
YesStyle,Dr. Althea 345 Relief Cream,Sodium Phytate,sodium phytate,Sodium Phytate,14306-25-3,No,No,No
YesStyle,Celimax Vita-A Retinal,Water,water,Onsen-Sui,,No,No,No
YesStyle,Celimax Vita-A Retinal,Butylene Glycol,butylene glycol,Butylene Glycol,107-88-0,No,No,No
YesStyle,Celimax Vita-A Retinal,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
YesStyle,Celimax Vita-A Retinal,Caprylic/Capric Triglyceride,caprylic,Caprylic,,No,No,No
YesStyle,Celimax Vita-A Retinal,Cetearyl Alcohol,cetearyl alcohol,Cetearyl Alcohol,67762-27-0,No,No,No
YesStyle,Celimax Vita-A Retinal,Niacinamide,niacinamide,Niacinamide,98-92-0,No,No,No
YesStyle,Celimax Vita-A Retinal,Diisostearyl Malate,diisostearyl malate,Diisostearyl Malate,,No,No,No
YesStyle,Celimax Vita-A Retinal,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
YesStyle,Celimax Vita-A Retinal,Polypropylsilsesquioxane,polypropylsilsesquioxane,Polypropylsilsesquioxane,36088-62-7,No,No,No
YesStyle,Celimax Vita-A Retinal,Panthenol,panthenol,Panthenol,81-13-0,No,No,No
YesStyle,Celimax Vita-A Retinal,Cetearyl Olivate,cetearyl olivate,Cetearyl Olivate,223706-40-9,No,No,No
YesStyle,Celimax Vita-A Retinal,Cetearyl Glucoside,cetearyl glucoside,Cetearyl Glucoside,246159-33-1,No,No,No
YesStyle,Celimax Vita-A Retinal,Sorbitan Olivate,sorbitan olivate,Cetearyl Olivate,,No,No,No
YesStyle,Celimax Vita-A Retinal,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,hydroxyethyl acrylate,Hydroxyethyl Acrylate,,No,No,No
YesStyle,Celimax Vita-A Retinal,Lecithin,lecithin,Lecithin,8002-43-5,No,No,No
YesStyle,Celimax Vita-A Retinal,Carbomer,carbomer,Carbomer,9007-20-9,No,No,No
YesStyle,Celimax Vita-A Retinal,Arginine,arginine,Arginine,74-79-3,No,No,No
YesStyle,Celimax Vita-A Retinal,Dimethicone/Vinyl Dimethicone Crosspolymer,dimethicone,Dimethicone,9006-65-9,No,No,No
YesStyle,Celimax Vita-A Retinal,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
YesStyle,Celimax Vita-A Retinal,Retinal,retinal,Retinal,116-31-4,No,No,No
YesStyle,Celimax Vita-A Retinal,Xanthan Gum,xanthan gum,Xanthan Gum,11138-66-2,No,No,No
YesStyle,Celimax Vita-A Retinal,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
YesStyle,Celimax Vita-A Retinal,Adenosine,adenosine,Adenosine,58-61-7,No,No,No
YesStyle,Celimax Vita-A Retinal,Sorbitan Isostearate,sorbitan isostearate,Sorbitan Isostearate,71902-01-7,No,No,No
YesStyle,Celimax Vita-A Retinal,Sodium Lactate,sodium lactate,Sodium Lactate,72-17-3,No,No,No
YesStyle,Celimax Vita-A Retinal,Hydrolyzed Sponge,hydrolyzed sponge,Hydrolyzed Sponge,,No,No,No
YesStyle,Celimax Vita-A Retinal,Disodium EDTA,disodium edta,Disodium Edta,139-33-3,No,No,No
YesStyle,Celimax Vita-A Retinal,Polysorbate 20,polysorbate 20,Polysorbate 20,9005-64-5,No,No,No
YesStyle,Celimax Vita-A Retinal,Ascorbic Acid,ascorbic acid,Ascorbic Acid,50-81-7,No,No,No
YesStyle,Celimax Vita-A Retinal,Glucose,glucose,Glucose,50-99-7,No,No,No
YesStyle,Celimax Vita-A Retinal,Palmitoyl Tripeptide-1,palmitoyl tripeptide-1,Palmitoyl Tripeptide-1,147732-56-7,No,No,No
YesStyle,Celimax Vita-A Retinal,Palmitoyl Tetrapeptide-7,palmitoyl tetrapeptide-7,Palmitoyl Tetrapeptide-7,221227-05-0,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Avobenzone,avobenzone,Avobenzone,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Homosalate,homosalate,Homosalate,118-56-9,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Octisalate,octisalate,Octisalate,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Octocrylene,octocrylene,Octocrylene,6197-30-4,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Water,water,Onsen-Sui,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Butyloctyl Salicylate,butyloctyl salicylate,Butyloctyl Salicylate,190085-41-7,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Propanediol,propanediol,Propanediol,26264-14-2,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Polymethylsilsesquioxane,polymethylsilsesquioxane,Polymethylsilsesquioxane,68554-70-1,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,C20-22 Alkyl Phosphate,c20-22 alkyl phosphate,C20-22 Alkyl Phosphate,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,C20-22 Alcohols,c20-22 alcohols,C20-22 Alcohols,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Panthenol,panthenol,Panthenol,81-13-0,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Caprylyl Methicone,caprylyl methicone,Caprylyl Methicone,17955-88-3,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Pentylene Glycol,pentylene glycol,Pentylene Glycol,5343-92-0,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Dimethicone/Vinyl Dimethicone Crosspolymer,dimethicone,Dimethicone,9006-65-9,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Cetyl Alcohol,cetyl alcohol,Cetyl Alcohol,36653-82-4,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,VP/Eicosene Copolymer,vp,Vp,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Glyceryl Stearate,glyceryl stearate,Glyceryl Stearate,31566-31-1,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Tromethamine,tromethamine,Tromethamine,77-86-1,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Polyacrylate Crosspolymer-6,polyacrylate crosspolymer-6,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Ammonium Acryloyldimethyltaurate/VP Copolymer,ammonium acryloyldimethyltaurate,Ammonium Acryloyldimethyltaurate,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Silica,silica,Silica,7631-86-9,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Butylene Glycol,butylene glycol,Butylene Glycol,107-88-0,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Centella Asiatica Extract,centella asiatica extract,Centella Asiatica Extract,84696-21-9,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Hydrolyzed Sodium Hyaluronate,hydrolyzed sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,9067-32-7,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Sodium Hyaluronate,sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Portulaca Oleracea Extract,portulaca oleracea extract,Portulaca Oleracea Extract,90083-07-1,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Camellia Sinensis Leaf Extract,camellia sinensis leaf extract,Camellia Sinensis Leaf Extract,84650-60-2,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Hyaluronic Acid,hyaluronic acid,Hyaluronic Acid,9004-61-9,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Oryza Sativa (Rice) Extract,oryza sativa extract,Oryza Sativa Extract,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Avena Sativa (Oat) Meal Extract,avena sativa meal extract,Avena Sativa Meal Extract,,No,No,No
YesStyle,SKIN1004 Hyalu-Cica Water-Fit Sun Serum,Glycine Max (Soybean) Seed Extract,glycine max seed extract,Glycine Max Seed Extract,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Water,water,Onsen-Sui,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Dibutyl Adipate,dibutyl adipate,Dibutyl Adipate,105-99-7,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Propanediol,propanediol,Propanediol,26264-14-2,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Diethylamino Hydroxybenzoyl Hexyl Benzoate,diethylamino hydroxybenzoyl hexyl benzoate,Diethylamino Hydroxybenzoyl Hexyl Benzoate,302776-68-7,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Polymethylsilsesquioxane,polymethylsilsesquioxane,Polymethylsilsesquioxane,68554-70-1,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Ethylhexyl Triazone,ethylhexyl triazone,Ethylhexyl Triazone,88122-99-0,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Niacinamide,niacinamide,Niacinamide,98-92-0,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,methylene bis-benzotriazolyl tetramethylbutylphenol,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,103597-45-1,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Coco-Caprylate/Caprate,coco-caprylate,Coco-Caprylate,95912-86-0,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Caprylyl Methicone,caprylyl methicone,Caprylyl Methicone,17955-88-3,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Diethylhexyl Butamido Triazone,diethylhexyl butamido triazone,Diethylhexyl Butamido Triazone,154702-15-5,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
YesStyle,Beauty of Joseon Relief Sun,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Butylene Glycol,butylene glycol,Butylene Glycol,107-88-0,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Pentylene Glycol,pentylene glycol,Pentylene Glycol,5343-92-0,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Behenyl Alcohol,behenyl alcohol,Behenyl Alcohol,661-19-8,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Poly C10-30 Alkyl Acrylate,poly c10-30 alkyl acrylate,Poly C10-30 Alkyl Acrylate,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Polyglyceryl-3 Methylglucose Distearate,polyglyceryl-3 methylglucose distearate,Polyglyceryl-3 Methylglucose Distearate,157175-98-9,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Decyl Glucoside,decyl glucoside,Decyl Glucoside,54549-25-6,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Oryza Sativa (Rice) Extract,oryza sativa extract,Oryza Sativa Extract,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Tromethamine,tromethamine,Tromethamine,77-86-1,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Carbomer,carbomer,Carbomer,9007-20-9,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates,Acrylates,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Sodium Stearoyl Glutamate,sodium stearoyl glutamate,Sodium Stearoyl Glutamate,38517-23-6,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Polyacrylate Crosspolymer-6,polyacrylate crosspolymer-6,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Adenosine,adenosine,Adenosine,58-61-7,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Xanthan Gum,xanthan gum,Xanthan Gum,11138-66-2,No,No,No
YesStyle,Beauty of Joseon Relief Sun,T-Butyl Alcohol,t-butyl alcohol,T-Butyl Alcohol,75-65-0,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Oryza Sativa (Rice) Germ Extract,oryza sativa germ extract,Oryza Sativa Germ Extract,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Camellia Sinensis Leaf Extract,camellia sinensis leaf extract,Camellia Sinensis Leaf Extract,84650-60-2,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Lactobacillus/Rice Ferment,lactobacillus,Lactobacillus,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Lactobacillus/Pumpkin Ferment Extract,lactobacillus,Lactobacillus,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Monascus/Rice Ferment,monascus,Monascus,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Bacillus/Soybean Ferment Extract,bacillus,Bacillus,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Saccharum Officinarum (Sugarcane) Extract,saccharum officinarum extract,Saccharum Officinarum Extract,91722-22-4,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Aspergillus Ferment,aspergillus ferment,Aspergillus Ferment,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Macrocystis Pyrifera (Kelp) Extract,macrocystis pyrifera extract,Macrocystis Pyrifera Extract,,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Cocos Nucifera (Coconut) Fruit Extract,cocos nucifera fruit extract,Cocos Nucifera Fruit Extract,8001-31-8,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Panax Ginseng Root Extract,panax ginseng root extract,Panax Ginseng Root Extract,84650-12-4,No,No,No
YesStyle,Beauty of Joseon Relief Sun,Saccharomyces/Rice Ferment Filtrate,saccharomyces,Saccharomyces,,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Water,water,Onsen-Sui,,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Panthenol,panthenol,Panthenol,81-13-0,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Squalane,squalane,Squalane,111-01-3,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Butylene Glycol,butylene glycol,Butylene Glycol,107-88-0,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Niacinamide,niacinamide,Niacinamide,98-92-0,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Bambusa Vulgaris Extract,bambusa vulgaris extract,Bambusa Vulgaris Extract,,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Hydrolyzed Jojoba Esters,hydrolyzed jojoba esters,Hydrolyzed Jojoba Esters,,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,acrylates,Acrylates,,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Ammonium Acryloyldimethyltaurate/VP Copolymer,ammonium acryloyldimethyltaurate,Ammonium Acryloyldimethyltaurate,,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Hydroxyacetophenone,hydroxyacetophenone,Hydroxyacetophenone,99-93-4,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Tromethamine,tromethamine,Tromethamine,77-86-1,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Dipotassium Glycyrrhizate,dipotassium glycyrrhizate,Dipotassium Glycyrrhizate,68797-35-3,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Xanthan Gum,xanthan gum,Xanthan Gum,11138-66-2,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Disodium EDTA,disodium edta,Disodium Edta,139-33-3,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Sodium Hyaluronate,sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,,No,No,No
YesStyle,Purito Wonder Releaf Centella Cream,Madecassoside,madecassoside,Madecassoside,34540-22-2,No,No,No
