retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,Rhode Glazing Milk,Phytosphingosine,phytosphingosine,Phytosphingosine,554-62-1,No,No,No
Sephora,Rhode Glazing Milk,Caprylyl Glycol,caprylyl glycol,Caprylyl Glycol,1117-86-8,No,No,No
Sephora,Rhode Glazing Milk,Cholesterol,cholesterol,Cholesterol,57-88-5,No,No,No
Sephora,Rhode Glazing Milk,Coco-Caprylate/Caprate,coco-caprylate,Coco-Caprylate,95912-86-0,No,No,No
Sephora,Rhode Glazing Milk,PEG-7 Glyceryl Cocoate,peg-7 glyceryl cocoate,Peg-7 Glyceryl Cocoate,66105-29-1,No,No,No
Sephora,Rhode Glazing Milk,Cetyl Hydroxyethylcellulose,cetyl hydroxyethylcellulose,Cetyl Hydroxyethylcellulose,80455-45-4,No,No,No
Sephora,Rhode Glazing Milk,Carbomer,carbomer,Carbomer,9007-20-9,No,No,No
Sephora,Rhode Glazing Milk,Sodium Lauroyl Lactylate,sodium lauroyl lactylate,Sodium Lauroyl Lactylate,13557-75-0,No,No,No
Sephora,Rhode Glazing Milk,Pentylene Glycol,pentylene glycol,Pentylene Glycol,5343-92-0,No,No,No
Sephora,Rhode Glazing Milk,"1,2-Hexanediol","1,2-hexanediol","1,2-Hexanediol",6920-22-5,No,No,No
Sephora,Rhode Glazing Milk,Sodium Phytate,sodium phytate,Sodium Phytate,14306-25-3,No,No,No
Sephora,Rhode Glazing Milk,Phenoxyethanol,phenoxyethanol,Phenoxyethanol,122-99-6,No,No,No
Sephora,Rhode Glazing Milk,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
Sephora,Rhode Glazing Milk,Sodium_Benzoate,sodium_benzoate,Sodium_Benzoate,,No,No,No
Sephora,Rhode Glazing Milk,Chlorphenesin,chlorphenesin,Chlorphenesin,104-29-0,No,No,No
Sephora,Rhode Glazing Milk,Citric Acid,citric acid,Citric Acid,77-92-9,No,No,No
Sephora,Rhode Peptide Lip Treatment,Hydrogenated Polyisobutene,hydrogenated polyisobutene,Hydrogenated Polyisobutene,40921-86-6,No,No,No
Sephora,Rhode Peptide Lip Treatment,Diisostearyl Malate,diisostearyl malate,Diisostearyl Malate,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Butyrospermum Parkii (Shea) Butter,butyrospermum parkii butter,Butyrospermum Parkii Butter,194043-92-0,No,No,No
Sephora,Rhode Peptide Lip Treatment,Polybutene,polybutene,Polybutene,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Microcrystalline Wax (Cera Microcristallina) (Cire Microcristalline),microcrystalline wax,Microcrystalline Wax,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Synthetic Wax,synthetic wax,Synthetic Wax,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Octyldodecanol,octyldodecanol,Octyldodecanol,5333-42-6,No,No,No
Sephora,Rhode Peptide Lip Treatment,Polyglyceryl-2 Triisostearate,polyglyceryl-2 triisostearate,Polyglyceryl-2 Triisostearate,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Hydrogenated Poly(C6-14 Olefin),hydrogenated poly,Hydrogenated Poly,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
Sephora,Rhode Peptide Lip Treatment,Tocopheryl Acetate,tocopheryl acetate,Tocopheryl Acetate,7695-91-2,No,No,No
Sephora,Rhode Peptide Lip Treatment,Tetrahexyldecyl Ascorbate,tetrahexyldecyl ascorbate,Tetrahexyldecyl Ascorbate,183476-82-6,No,No,No
Sephora,Rhode Peptide Lip Treatment,Palmitoyl Tripeptide-1,palmitoyl tripeptide-1,Palmitoyl Tripeptide-1,147732-56-7,No,No,No
Sephora,Rhode Peptide Lip Treatment,Orbignya Oleifera Seed Oil,orbignya oleifera seed oil,Orbignya Oleifera Seed Oil,,No,No,No
Sephora,Rhode Peptide Lip Treatment,Theobroma Grandiflorum Seed Butter,theobroma grandiflorum seed butter,Theobroma Grandiflorum Seed Butter,,No,No,No
