cleaned_name,cas_number,notes,region
curare and curarine,22260-42-0,(EC) 2009/1223,EU
synthetic curarizants,,(EC) 2009/1223,EU
hydrogen cyanide and its salts,74-90-8,(EC) 2009/1223,EU
feclemine (inn),3590-16-7,(EC) 2009/1223,EU
"2-(alpha-cyclohexylbenzyl)-n,n,n',n'-tetraethyl-1,3-propanediamine",3590-16-7,(EC) 2009/1223,EU
cyclomenol (inn) and its salts,5591-47-9,(EC) 2009/1223,EU
sodium hexacyclonate (inn),7009-49-6,(EC) 2009/1223,EU
hexapropymate (inn),358-52-1,(EC) 2009/1223,EU
"o,o'-diacetyl-n-allyl-n-normorphine",2748-74-5,(EC) 2009/1223,EU
diacetylnalorphine,2748-74-5,(EC) 2009/1223,EU
pipazetate (inn) and its salts,2167-85-3,(EC) 2009/1223,EU
"5-(alpha,beta-dibromophenethyl)-5-methylhydantoin",511-75-1,(EC) 2009/1223,EU
"n,n'-pentamethylenebis(trimethylammonium) salts, e.g. pentamethonium bromide (inn)",541-20-8,(EC) 2009/1223,EU
"n,n'-[(methylimino)diethylene]bis(ethyldimethylammonium) salts, e.g. azamethonium bromide (inn)",306-53-6,(EC) 2009/1223,EU
cyclarbamate (inn),5779-54-4,(EC) 2009/1223,EU
clofenotane (inn),50-29-3,(EC) 2009/1223,EU
ddt (iso),50-29-3,(EC) 2009/1223,EU
"n,n'-hexamethylenebis (trimethylammonium) salts, e.g. hexamethonium bromide (inn)",55-97-0,(EC) 2009/1223,EU
"dichloroethanes (ethylene chlorides) e.g. 1,2-dichloroethane",107-06-2,(EC) 2009/1223,EU
"dichloroethylenes (acetylene chlorides) e.g. vinylidene chloride (1,1-dichloroethylene)",75-35-4,(EC) 2009/1223,EU
lysergide (inn) (lsd) and its salts,50-37-3,(EC) 2009/1223,EU
2-diethylaminoethyl 3-hydroxy-4-phenylbenzoate and its salts,3572-52-9,(EC) 2009/1223,EU
cinchocaine (inn) and its salts,85-79-0,(EC) 2009/1223,EU
3-diethylaminopropyl cinnamate,538-66-9,(EC) 2009/1223,EU
"o,o'-diethyl-o-4-nitrophenyl phosphorothioate (parathion - iso)",56-38-2,(EC) 2009/1223,EU
"[oxalylbis(iminoethylene)]bis[(o-chlorobenzyl)diethylammonium] salts, e.g. ambenonium chloride (inn)",115-79-7,(EC) 2009/1223,EU
methyprylon (inn) and its salts,125-64-4,(EC) 2009/1223,EU
digitaline and all heterosides of digitalis purpurea l.,752-61-4,(EC) 2009/1223,EU
7-[2-hydroxy-3-(n-(2-hydroxyethyl)-n-methylamino)propyl]theophylline,2530-97-4,(EC) 2009/1223,EU
(xanthinol),2530-97-4,(EC) 2009/1223,EU
dioxethedrin (inn) and its salts,497-75-6,(EC) 2009/1223,EU
piprocurarium iodide (inn),3562-55-8,(EC) 2009/1223,EU
propyphenazone (inn),479-92-5,(EC) 2009/1223,EU
tetrabenazine (inn) and its salts,58-46-8,(EC) 2009/1223,EU
captodiame (inn),486-17-9,(EC) 2009/1223,EU
mefeclorazine (inn) and its salts,1243-33-0,(EC) 2009/1223,EU
dimethylamine,124-40-3,(EC) 2009/1223,EU
"1,1-bis(dimethylaminomethyl)propyl benzoate (amydricaine, alypine) and its salts",963-07-5,(EC) 2009/1223,EU
methapyrilene (inn) and its salts,91-80-5,(EC) 2009/1223,EU
metamfepramone (inn) and its salts,15351-09-4,(EC) 2009/1223,EU
amitriptyline (inn) and its salts,50-48-6,(EC) 2009/1223,EU
metformin (inn) and its salts,657-24-9,(EC) 2009/1223,EU
isosorbide dinitrate (inn),87-33-2,(EC) 2009/1223,EU
malononitrile,109-77-3,(EC) 2009/1223,EU
succinonitrile,110-61-2,(EC) 2009/1223,EU
dinitrophenol isomers,51-28-5,(EC) 2009/1223,EU
dinitrophenol isomers,329-71-5,(EC) 2009/1223,EU
dinitrophenol isomers,573-56-8,(EC) 2009/1223,EU
dinitrophenol isomers,25550-58-7,(EC) 2009/1223,EU
inproquone (inn),436-40-8,(EC) 2009/1223,EU
dimevamide (inn) and its salts,60-46-8,(EC) 2009/1223,EU
diphenylpyraline (inn) and its salts,147-20-6,(EC) 2009/1223,EU
sulfinpyrazone (inn),57-96-5,(EC) 2009/1223,EU
"n-(3-carbamoyl-3,3-diphenylpropyl)-n,n-diisopropylmethylammonium salts, e.g. isopropamide iodide (inn)",71-81-8,(EC) 2009/1223,EU
benactyzine (inn),302-40-9,(EC) 2009/1223,EU
benzatropine (inn) and its salts,86-13-5,(EC) 2009/1223,EU
cyclizine (inn) and its salts,82-92-8,(EC) 2009/1223,EU
"5,5-diphenyl-4-imidazolidone (doxenitoin (inn))",3254-93-1,(EC) 2009/1223,EU
probenecid (inn),57-66-9,(EC) 2009/1223,EU
disulfiram (inn),97-77-8,(EC) 2009/1223,EU
thiram (iso) (inn),97-77-8,(EC) 2009/1223,EU
disulfiram (inn),137-26-8,(EC) 2009/1223,EU
thiram (iso) (inn),137-26-8,(EC) 2009/1223,EU
"emetine, its salts and derivatives",483-18-1,(EC) 2009/1223,EU
ephedrine and its salts,299-42-3,(EC) 2009/1223,EU
oxanamide (inn) and its derivatives,126-93-2,(EC) 2009/1223,EU
eserine or physostigmine and its salts,57-47-6,(EC) 2009/1223,EU
"4-aminobenzoic acid and its esters, with the free amino group",150-13-0,(EC) 2013/344,EU
choline salts and their esters e.g. choline chloride (inn),67-48-1,(EC) 2009/1223,EU
caramiphen (inn) and its salts,77-22-5,(EC) 2009/1223,EU
diethyl 4-nitrophenyl phosphate (paraoxon - iso),311-45-5,(EC) 2009/1223,EU
metethoheptazine (inn) and its salts,509-84-2,(EC) 2009/1223,EU
oxpheneridine (inn) and its salts,546-32-7,(EC) 2009/1223,EU
ethoheptazine (inn) and its salts,77-15-6,(EC) 2009/1223,EU
metheptazine (inn) and its salts,469-78-3,(EC) 2009/1223,EU
methylphenidate (inn) and its salts,113-45-1,(EC) 2009/1223,EU
doxylamine (inn) and its salts,469-21-6,(EC) 2009/1223,EU
tolboxane (inn),2430-46-8,(EC) 2009/1223,EU
4-benzyloxyphenol and 4-ethoxyphenol,103-16-2,(EC) 2009/1223,EU
4-benzyloxyphenol and 4-ethoxyphenol,622-62-8,(EC) 2009/1223,EU
parethoxycaine (inn) and its salts,94-23-5,(EC) 2009/1223,EU
fenozolone (inn),15302-16-6,(EC) 2009/1223,EU
glutethimide (inn) and its salts,77-21-4,(EC) 2009/1223,EU
ethylene oxide,75-21-8,(EC) 2009/1223,EU
bemegride (inn) and its salts,64-65-3,(EC) 2009/1223,EU
valnoctamide (inn),4171-13-5,(EC) 2009/1223,EU
haloperidol (inn),52-86-8,(EC) 2009/1223,EU
paramethasone (inn),53-33-8,(EC) 2009/1223,EU
fluanisone (inn),1480-19-9,(EC) 2009/1223,EU
trifluperidol (inn),749-13-3,(EC) 2009/1223,EU
fluoresone (inn),2924-67-6,(EC) 2009/1223,EU
fluorouracil (inn),51-21-8,(EC) 2009/1223,EU
"hydrofluoric acid, its normal salts, its complexes and hydrofluorides with exception of those given in annex iii",7664-39-3,(EC) 2009/1223,EU
"furfuryltrimethyl ammonium salts, e.g. furtrethonium iodide (inn)",541-64-0,(EC) 2009/1223,EU
galantamine (inn),357-70-0,(EC) 2009/1223,EU
progestogens,,(EC) 2009/1223,EU
"1,2,3,4,5,6-hexachlorocyclohexane (bhc-iso)",58-89-9,(EC) 2009/1223,EU
"(1r,4s,5r,8s)-1,2,3,4,10,10-hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimethanonaphthalene (endrin - iso)",72-20-8,(EC) 2009/1223,EU
hexachloroethane,67-72-1,(EC) 2009/1223,EU
"(1r,4s,5r,8s)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene (isodrin-iso)",465-73-6,(EC) 2009/1223,EU
"hydrastine, hydrastinine and their salts",118-08-1,(EC) 2009/1223,EU
"hydrastine, hydrastinine and their salts",6592-85-4,(EC) 2009/1223,EU
hydrazides and their salts e.g. isoniazid (inn),54-85-3,(EC) 2009/1223,EU
"hydrazine, its derivatives and their salts",302-01-2,(EC) 2009/1223,EU
octamoxin (inn) and its salts,4684-87-1,(EC) 2009/1223,EU
warfarin (inn) and its salts,81-81-2,(EC) 2009/1223,EU
ethyl bis(4-hydroxy-2-oxo-1-benzopyran-3-yl)acetate and salts of the acid,548-00-5,(EC) 2009/1223,EU
methocarbamol (inn),532-03-6,(EC) 2009/1223,EU
propatylnitrate (inn),2921-92-8,(EC) 2009/1223,EU
"4,4'-dihydroxy-3,3'-(3-methylthiopropylidene) dicoumarin",,(EC) 2009/1223,EU
fenadiazole (inn),1008-65-7,(EC) 2009/1223,EU
nitroxoline (inn) and its salts,4008-48-4,(EC) 2009/1223,EU
"hyoscyamine, its salts and derivatives",101-31-5,(EC) 2009/1223,EU
"hyoscyamus niger l. (leaves, seeds, powder and galenical preparations)",84603-65-6,(EC) 2009/1223,EU
pemoline (inn) and its salts,2152-34-3,(EC) 2009/1223,EU
iodine,7553-56-2,(EC) 2009/1223,EU
"decamethylenebis(trimethylammonium) salts, e.g. decamethonium bromide (inn)",156-74-1,(EC) 2009/1223,EU
"decamethylenebis(trimethylammonium) salts, e.g. decamethonium bromide (inn)",541-22-0,(EC) 2009/1223,EU
"decamethylenebis(trimethylammonium) salts, e.g. decamethonium bromide (inn)",1420-40-2,(EC) 2009/1223,EU
"decamethylenebis(trimethylammonium) salts, e.g. decamethonium bromide (inn)",3198-38-7,(EC) 2009/1223,EU
"ipecacuanha (cephaelis ipecacuanha brot. and related species) (roots, powder and galenical preparations)",8012-96-2,(EC) 2009/1223,EU
(2-isopropylpent-4-enoyl)urea (apronalide),528-92-7,(EC) 2009/1223,EU
"alpha-santonin [(3s,5ar,9bs)-3,3a,4,5,5a,9b-hexahydro-3,5a,9-trimethylnaphto[1,2-b]furan-2,8-dione]",481-06-1,(EC) 2009/1223,EU
lobelia inflata l. and its galenical preparations,84696-23-1,(EC) 2009/1223,EU
lobeline (inn) and its salts,90-69-7,(EC) 2009/1223,EU
barbiturates,,(EC) 2009/1223,EU
"mercury and its compounds, except those special cases included in annex v",7439-97-6,(EC) 2009/1223,EU
"3,4,5-trimethoxyphenethylamine (mescaline) and its salts",54-04-6,(EC) 2009/1223,EU
metaldehyde,9002-91-9,(EC) 2009/1223,EU
"2-(4-allyl-2-methoxyphenoxy)-n,n-diethylacetamide and its salts",305-13-5,(EC) 2009/1223,EU
coumetarol (inn),4366-18-1,(EC) 2009/1223,EU
dextromethorphan (inn) and its salts,125-71-3,(EC) 2009/1223,EU
2-methylheptylamine and its salts,540-43-2,(EC) 2009/1223,EU
isometheptene (inn) and its salts,503-01-5,(EC) 2009/1223,EU
mecamylamine (inn),60-40-2,(EC) 2009/1223,EU
guaifenesin (inn),93-14-1,(EC) 2009/1223,EU
dicoumarol (inn),66-76-2,(EC) 2009/1223,EU
"phenmetrazine (inn), its derivatives and salts",134-49-6,(EC) 2009/1223,EU
thiamazole (inn),60-56-0,(EC) 2009/1223,EU
"3,4-dihydro-2-methoxy-2-methyl-4-phenyl-2h,5h-pyrano[3,2-c]-benzopyran-5-one (cyclocoumarol)",518-20-7,(EC) 2009/1223,EU
carisoprodol (inn),78-44-4,(EC) 2009/1223,EU
meprobamate (inn),57-53-4,(EC) 2009/1223,EU
tefazoline (inn) and its salts,1082-56-0,(EC) 2009/1223,EU
arecoline,63-75-2,(EC) 2009/1223,EU
poldine metilsulfate (inn),545-80-2,(EC) 2009/1223,EU
hydroxyzine (inn),68-88-2,(EC) 2009/1223,EU
2-naphthol,135-19-3,(EC) 2009/1223,EU
1- and 2-naphthylamines and their salts,91-59-8,(EC) 2009/1223,EU
1- and 2-naphthylamines and their salts,134-32-7,(EC) 2009/1223,EU
3-(1-naphthyl)-4-hydroxycoumarin,39923-41-6,(EC) 2009/1223,EU
naphazoline (inn) and its salts,835-31-4,(EC) 2009/1223,EU
neostigmine and its salts (e.g. neostigmine bromide (inn)),114-80-7,(EC) 2009/1223,EU
nicotine and its salts,54-11-5,(EC) 2009/1223,EU
amyl nitrites,110-46-3,(EC) 2009/1223,EU
"inorganic nitrites, with exception of sodium nitrite",14797-65-0,(EC) 2009/1223,EU
nitrobenzene,98-95-3,(EC) 2009/1223,EU
nitrocresols and their alkali metal salts,12167-20-3,(EC) 2009/1223,EU
nitrofurantoin (inn),67-20-9,(EC) 2009/1223,EU
furazolidone (inn),67-45-8,(EC) 2009/1223,EU
nitroglycerin,55-63-0,(EC) 2009/1223,EU
"propane-1,2,3-triyl trinitrate",55-63-0,(EC) 2009/1223,EU
acenocoumarol (inn),152-72-7,(EC) 2009/1223,EU
alkali pentacyanonitrosylferrate (2-),14402-89-2,(EC) 2009/1223,EU
alkali pentacyanonitrosylferrate (2-),13755-38-9,(EC) 2009/1223,EU
"nitrostilbenes, their homologues and their derivatives",,(EC) 2009/1223,EU
noradrenaline and its salts,51-41-2,(EC) 2009/1223,EU
noscapine (inn) and its salts,128-62-1,(EC) 2009/1223,EU
guanethidine (inn) and its salts,55-65-2,(EC) 2009/1223,EU
oestrogens,,(EC) 2009/1223,EU
oleandrin,465-16-7,(EC) 2009/1223,EU
chlortalidone (inn),77-36-1,(EC) 2009/1223,EU
pelletierine and its salts,2858-66-4,(EC) 2009/1223,EU
pelletierine and its salts,4396-01-4,(EC) 2009/1223,EU
pentachloroethane,76-01-7,(EC) 2009/1223,EU
pentaerithrityl tetranitrate (inn),78-11-5,(EC) 2009/1223,EU
petrichloral (inn),78-12-6,(EC) 2009/1223,EU
octamylamine (inn) and its salts,502-59-0,(EC) 2009/1223,EU
picric acid,88-89-1,(EC) 2009/1223,EU
phenacemide (inn),63-98-9,(EC) 2009/1223,EU
difencloxazine (inn),5617-26-5,(EC) 2009/1223,EU
"2-phenylindan-1,3-dione (phenindione (inn))",83-12-5,(EC) 2009/1223,EU
ethylphenacemide (pheneturide (inn)),90-49-3,(EC) 2009/1223,EU
phenprocoumon (inn),435-97-2,(EC) 2009/1223,EU
fenyramidol (inn),553-69-5,(EC) 2009/1223,EU
triamterene (inn) and its salts,396-01-0,(EC) 2009/1223,EU
tetraethyl pyrophosphate   (tepp - iso),107-49-3,(EC) 2009/1223,EU
tritolyl phosphate,1330-78-5,(EC) 2009/1223,EU
psilocybine (inn),520-52-5,(EC) 2009/1223,EU
phosphorus and metalphosphides,7723-14-0,(EC) 2009/1223,EU
thalidomide (inn) and its salts,50-35-1,(EC) 2009/1223,EU
physostigma venenosum balf.,89958-15-6,(EC) 2009/1223,EU
picrotoxin,124-87-8,(EC) 2009/1223,EU
pilocarpine and its salts,92-13-7,(EC) 2009/1223,EU
"alpha-piperidin-2-ylbenzyl acetate, laevorotatory threoform (levofacetoperane (inn)) and its salts",24558-01-8,(EC) 2009/1223,EU
pipradrol (inn) and its salts,467-60-7,(EC) 2009/1223,EU
azacyclonol (inn) and its salts,115-46-8,(EC) 2009/1223,EU
bietamiverine (inn),479-81-2,(EC) 2009/1223,EU
butopiprine (inn) and its salts,55837-15-5,(EC) 2009/1223,EU
lead and its compounds,7439-92-1,(EC) 2009/1223,EU
coniine,458-88-8,(EC) 2009/1223,EU
"prunus laurocerasus l. (""cherry laurel water"")",89997-54-6,(EC) 2009/1223,EU
metyrapone (inn),54-36-4,(EC) 2009/1223,EU
"radioactive substances, as defined by directive 96/29/euratom (1) laying down the basic safety standards for the protection of the health of workers and the general public against the dangers arising from ionising radiation",,(EC) 2009/1223,EU
"juniperus sabina l. (leaves, essential oil and galenical preparations)",90046-04-1,(EC) 2009/1223,EU
"hyoscine, its salts and derivatives",51-34-3,(EC) 2009/1223,EU
gold salts,,(EC) 2009/1223,EU
