cleaned_name,cas_number,notes,region
chlorprothixene  and its salts,113-59-7,,Taiwan
clofenamide,671-95-4,,Taiwan
dinitrophenol isomers,51-28-5/329-71-5/573-56-8/25550-58-7,,Taiwan
mannomustine  and its salts,576-68-1,,Taiwan
butanilicaine  and its salts,3785-21-5,,Taiwan
chlormezanone,80-77-3,,Taiwan
triparanol,78-41-1,,Taiwan
chlorphenoxamine,77-38-3,,Taiwan
phenaglycodol,79-93-6,,Taiwan
glycyclamide,664-95-9,,Taiwan
"feclemine ; 2--n,n,n',n'-tetraethyl-1,3-propanediamine",3590-16-7,,Taiwan
cyclomenol  and its salts,5591-47-9,,Taiwan
sodium hexacyclonate,7009-49-6,,Taiwan
"dinoseb, its salts and esters",88-85-7,,Taiwan
hexapropymate,358-52-1,,Taiwan
pipazetate  and its salts,2167-85-3,,Taiwan
"n,n'-pentamethylenebis salts, e. g. pentamethonium bromide",541-20-8,,Taiwan
"n,n'-[diethylene]bis salts, e. g. azamethonium bromide",306-53-6,,Taiwan
cyclarbamate,5779-54-4,,Taiwan
"n,n'-hexamethylenebis salts, e. g. hexamethonium bromide",55-97-0,,Taiwan
lysergide   and its salts,50-37-3,,Taiwan
cinchocaine  and its salts,85-79-0,,Taiwan
3-diethylaminopropyl cinnamate,538-66-9,,Taiwan
"[oxalylbis]bis[diethylammonium] salts, e. g. ambenonium chloride",115-79-7,,Taiwan
"1,2-diphenylhydrazine",122-66-7,,Taiwan
methyprylon  and its salts,125-64-4,,Taiwan
dioxethedrin  and its salts,497-75-6,,Taiwan
piprocurarium iodide,3562-55-8,,Taiwan
propyphenazone,479-92-5,,Taiwan
tetrabenazine  and its salts,58-46-8,,Taiwan
captodiame,486-17-9,,Taiwan
mefeclorazine  and its salts,1243-33-0,,Taiwan
methapyrilene  and its salts,91-80-5,,Taiwan
metamfepramone  and its salts,15351-09-4,,Taiwan
amitriptyline  and its salts,50-48-6,,Taiwan
"4-tert-butyl-3-methoxy-2,6-dinitrotoluene",83-66-9,,Taiwan
"-1,2,3,4,10,10-hexachloro-6,7-epoxy1,4,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimethano-naphthalene )",72-20-8,,Taiwan
metformin  and its salts,657-24-9,,Taiwan
