url,name,cas_number,ec_number
https://incidecoder.com/ingredients/aesculus-hippocastanum-seed-extract,Aesculus Hippocastanum Seed Extract,8053-39-2,232-497-7
https://incidecoder.com/ingredients/agonis-fragrans-branch-leaf-oil,Agonis Fragrans Branch/Leaf Oil,,
https://incidecoder.com/ingredients/ahnfeltia-concinna-extract,Ahnfeltia Concinna Extract,,
https://incidecoder.com/ingredients/alanine,Alanine,302-72-7,206-126-4
https://incidecoder.com/ingredients/alcohol,Alcohol,64-17-5,200-578-6
https://incidecoder.com/ingredients/alcohol-denat,Alcohol Denat.,,
https://incidecoder.com/ingredients/aleurites-moluccana-seed-oil,Aleurites Moluccana Seed Oil,,
https://incidecoder.com/ingredients/algae-extract,Algae Extract,92128-82-0,295-780-4
https://incidecoder.com/ingredients/algin,Algin,9005-38-3,
https://incidecoder.com/ingredients/allantoin,Allantoin,97-59-6,202-592-8
https://incidecoder.com/ingredients/allium-cepa-bulb-extract,Allium Cepa Bulb Extract,8054-39-5,232-498-2
https://incidecoder.com/ingredients/aloe-barbadensis-leaf-extract,Aloe Barbadensis Leaf Extract,85507-69-3,287-390-8
https://incidecoder.com/ingredients/aloe-barbadensis-leaf-juice,Aloe Barbadensis Leaf Juice,85507-69-3,287-390-8
https://incidecoder.com/ingredients/aloe-barbadensis-leaf-juice-powder,Aloe Barbadensis Leaf Juice Powder,85507-69-3,287-390-8
https://incidecoder.com/ingredients/alpaflor-r-edelweiss-ep,Alpaflor® Edelweiss Ep,,
https://incidecoder.com/ingredients/alpha-arbutin,Alpha-Arbutin,84380-01-8,283-934-3
https://incidecoder.com/ingredients/alpha-glucan-oligosaccharide,Alpha-Glucan Oligosaccharide,,
https://incidecoder.com/ingredients/alpha-isomethyl-ionone,Alpha-Isomethyl Ionone,127-51-5,204-846-3
https://incidecoder.com/ingredients/alteromonas-ferment-extract,Alteromonas Ferment Extract,,
https://incidecoder.com/ingredients/alteromonas-ferment-filtrate,Alteromonas Ferment Filtrate,,
https://incidecoder.com/ingredients/alumina,Alumina,1344-28-1,215-691-6
https://incidecoder.com/ingredients/aluminum-hydroxide,Aluminum Hydroxide,21645-51-2,244-492-7
https://incidecoder.com/ingredients/aluminum-starch-octenylsuccinate,Aluminum Starch Octenylsuccinate,9087-61-0,
https://incidecoder.com/ingredients/amaranthus-caudatus-seed-extract,Amaranthus Caudatus Seed Extract,223747-79-3,
https://incidecoder.com/ingredients/aminomethyl-propanol,Aminomethyl Propanol,124-68-5,204-709-8
