cleaned_name,manual_cas_number,notes
pulsatilla koreana extract,84604-09-1,Found on Google
raspberry seed oil/tocopheryl succinate aminopropanediol esters,,Specialized cosmetic ingredient - no CAS
rosa canina seed oil,84603-93-0,Found on SpecialChem
rosa damascena absolute,90106-38-0,Found on Google
rosa rubiginosa seed oil,84603-93-0,Found on SpecialChem
rubus fruticosus seed oil,84787-69-9,Found on SpecialChem
saccharomyces ferment,8013-01-2,Found on UL
saccharomyces ferment filtrate,8013-01-2,Found on SpecialChem
saccharomyces/camellia sinensis leaf/cladosiphon okamuranus/rice ferment filtrate,,Specidic combined mixture - no CAS
safflower oil/palm oil aminopropanediol esters,805252-05-5,Found on Google
sapindus mukorossi fruit extract,223748-41-2,Found on UL
sarcodon aspratus extract,,Antioxidant and skin-protecting agent - no CAS
schisandra sphenanthera fruit extract,,Used in traditional medicine - no CAS
sclerocarya birrea seed oil,68956-68-3,Found on Google
sd alcohol 40-b,,Solvent for cosmetics+perfumes+pharmaceuticals - no CAS
sericite m12 nll,,Cosmetic filler powder - no CAS
sh-decapeptide-7,,Synthetic recombinant human peptide - no CAS
sh-octapeptide-4,,Synthetic cosmetic peptide+anti-aging and skin conditioning - no CAS
sh-oligopeptide-1,62253-63-8,Found on Google
sh-oligopeptide-2,61912-98-9,Found on Google
sh-polypeptide-1,,Single-chain recombinant human peptide - no CAS
sh-polypeptide-11,,Synthetic recombinant human peptide - no CAS
sh-polypeptide-9,127464-60-2,Found on EU
shea butter ethyl esters,1456887-14-1,Found on GoodScents
silica silylate,68909-20-6,Found on SpecialChem
snail egg extract,,Extract derived from Helix aspersa - no CAS
snail secretion filtrate,,Or called snail mucin - no CAS
sodium acetylated hyaluronate,158254-23-0,Found on UL
sodium acrylate/sodium acryloyldimethyl taurate copolymer,77019-71-7,Found on Google
sodium acrylates copolymer,25549-84-2 / 7446-81-3 / 9003-04-7,Found on SpecialChem
sodium acrylates crosspolymer-2,,Synthetic polymer for absorbant+emulsion stabilizer+viscosity-increasing agent - no CAS
sodium acrylates/c10-30 alkyl acrylate crosspolymer,176429-87-1,Found on SpecialChem
sodium lauroyl methyl isethionate,928663-45-0,Found on SpecialChem
soluble collagen,9007-34-5,Found on SpecialChem
sorbeth-30 tetraoleate,63089-86-1,Found on SpecialChem
soy amino acids,65072-01-7,Found on Google
syntacks,,Cosmetic active complex - no CAS
tasmannia lanceolata fruit/leaf extract
tetrapeptide-14
tetrapeptide-17
tetrasodium tetracarboxymethyl naringeninchalcone
thymus vulgaris flower/leaf oil
tremella fuciformis polysaccharide
tremella fuciformis sporocarp extract
triethoxysilylethyl polydimethylsiloxyethyl hexyl dimethicone
trimethylsiloxysilicate
ulmus davidiana root extract
vinyl dimethicone/methicone silsesquioxane crosspolymer
vitis vinifera extract
wheat and oat sugars
zinc palmitoyl nonapeptide-14



























